BRCD,BRANCH,CIRCLE,NETWORK,MOD NO,MODULE,REG NO,BGL,BGLDESC,BALANCE,BM_MOBILE
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,20964015.5,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,98581,ATM CASH DISB-CUST AC NOT DEBITED,-2500,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,22571,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,98751,SUNDRY DEPOSITS-OTHERS,150000,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,3199844,ATM EXCESS CASH ACCOUNT,49000,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,98602,INTER OFFICE INSTRUMENTS AC,722078230.5,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,4597997,INB MISCELLANEOUS CREDIT IMPS,1000,
249,TRIPLICANE (CHENNAI)                    ,CHENNAI,1,12,CHENNAI SOUTH,1,98728,SUSPENSE - ADHOC PAYMENTS,-2028242,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-1000.47,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,32700,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,98656,SUSP - SC CONTRA AC,946910,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,98655,SUSP - SC CONTRA AC,-946910,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,4898587,Diff in parking ac with INB facility,728285,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,98602,INTER OFFICE INSTRUMENTS AC,1616846155,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,5983837.62,
252,VANIYAMBADI                             ,CHENNAI,1,11,CHENNAI NORTH,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,246200,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,98602,INTER OFFICE INSTRUMENTS AC,-56369745.62,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,14472209.95,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,159300,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,98656,SUSP - SC CONTRA AC,-6168,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),189800,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,4898587,Diff in parking ac with INB facility,411000,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,98731,SUSPENSE - OTHERS,-5000,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,98655,SUSP - SC CONTRA AC,6168,
253,TALLAKULAM (MADURAI)                    ,CHENNAI,2,21,MADURAI,1,98751,SUNDRY DEPOSITS-OTHERS,20000,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,98751,SUNDRY DEPOSITS-OTHERS,173760.01,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,139200,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,98581,ATM CASH DISB-CUST AC NOT DEBITED,-16824.78,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,6207476.56,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,98602,INTER OFFICE INSTRUMENTS AC,101843298.6,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,4898587,Diff in parking ac with INB facility,861427,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,98655,SUSP - SC CONTRA AC,537387,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,98656,SUSP - SC CONTRA AC,-537387,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,98731,SUSPENSE - OTHERS,-80965,
258,MELUR                                   ,CHENNAI,2,21,MADURAI,1,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,1320,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,4597997,INB MISCELLANEOUS CREDIT IMPS,2885,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,98602,INTER OFFICE INSTRUMENTS AC,167804330.5,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,4445581.93,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-20000,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,98576,SD . UNIDENTIFIED CREDITS . CASH B,50000,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,98751,SUNDRY DEPOSITS-OTHERS,174500,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,27100,
261,NANNIALM                                ,CHENNAI,2,22,TRICHY,5,3199844,ATM EXCESS CASH ACCOUNT,162400,
264,POLUR                                   ,CHENNAI,1,12,CHENNAI SOUTH,5,98751,SUNDRY DEPOSITS-OTHERS,782496.29,
264,POLUR                                   ,CHENNAI,1,12,CHENNAI SOUTH,5,98731,SUSPENSE - OTHERS,-5279.08,
264,POLUR                                   ,CHENNAI,1,12,CHENNAI SOUTH,5,98602,INTER OFFICE INSTRUMENTS AC,-304783231.8,
264,POLUR                                   ,CHENNAI,1,12,CHENNAI SOUTH,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,4623518.06,
264,POLUR                                   ,CHENNAI,1,12,CHENNAI SOUTH,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-3363.37,
264,POLUR                                   ,CHENNAI,1,12,CHENNAI SOUTH,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,64200,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,98582,CUST AC DEBITED - ATM CASH NOT DISBURSED,1000,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-154.26,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,10445644.53,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,98602,INTER OFFICE INSTRUMENTS AC,1178900481,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,98731,SUSPENSE - OTHERS,-20400,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,98751,SUNDRY DEPOSITS-OTHERS,193584,
265,AMBATTUR INDUSTRIAL ESTATE              ,CHENNAI,1,11,CHENNAI NORTH,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,93000,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,98602,INTER OFFICE INSTRUMENTS AC,238379319.6,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,98728,SUSPENSE - ADHOC PAYMENTS,-150595,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,3199844,ATM EXCESS CASH ACCOUNT,227000,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,44600,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,98751,SUNDRY DEPOSITS-OTHERS,1225946,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-30000,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-5041.54,
267,CHEYYAR                                 ,CHENNAI,1,12,CHENNAI SOUTH,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,15190480.42,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98728,SUSPENSE - ADHOC PAYMENTS,-252800,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98731,SUSPENSE - OTHERS,-1140909.88,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,4597997,INB MISCELLANEOUS CREDIT IMPS,32000,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98655,SUSP - SC CONTRA AC,7010,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98656,SUSP - SC CONTRA AC,-7010,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,4898587,Diff in parking ac with INB facility,102739,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,3199844,ATM EXCESS CASH ACCOUNT,124000,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,7693327.79,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-106400.47,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98751,SUNDRY DEPOSITS-OTHERS,1702,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,311500,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98746,SD - EXCESS CASH,1000,
579,SIRKALI                                 ,CHENNAI,2,22,TRICHY,5,98602,INTER OFFICE INSTRUMENTS AC,219208091.9,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,3199842,ATM CASH INTERMEDIATE ACCOUNT,-4000000,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,98728,SUSPENSE - ADHOC PAYMENTS,-358300,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,98731,SUSPENSE - OTHERS,-504911.76,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,3199845,ATM EXCESS CASH FOUND ACCOUNT,-6500,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,98602,INTER OFFICE INSTRUMENTS AC,-620979053.9,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,9115127.75,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-127113.88,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,3199844,ATM EXCESS CASH ACCOUNT,2029900,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,98751,SUNDRY DEPOSITS-OTHERS,6176,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,98576,SD . UNIDENTIFIED CREDITS . CASH B,37900,
