"BRCD","BRANCH","CIRCLE","NETWORK","MOD NO","MODULE","REG NO","BGL","BGLDESC","REF","AMOUNT","POST DATE","DAYS","TAT","SL NO","OVERDUE","DAYS PASSED"
"14502","AGRI COMM BRANCH R.S.MANGALAM           ","CHENNAI","2","22","TRICHY","3","98556","NEFT BULK UPLOAD AC","X","13200.02","X","X","0","9","NA","0"
"70973","DHARAPURAM ROAD, ODDANCHATRAM           ","CHENNAI","2","22","TRICHY","4","98585","IOI TO BE ISSUED AC","X","14080","X","X","0","9","NA","0"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000466725493","15000","2025-03-03","15","45","1","-30","16"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000467030448","25000","2025-03-06","12","45","1","-33","13"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000467077573","36000","2025-03-06","12","45","1","-33","13"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS00000000467688652","-11.8","2025-03-13","5","45","3","-40","6"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000467730766","20000","2025-03-14","4","45","1","-41","5"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000468036689","5000","2025-03-18","0","45","1","-45","1"
"261","NANNIALM ","CHENNAI","2","22","TRICHY","5","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000467084723","60000","2025-03-06","12","45","1","-33","13"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98728","SUSPENSE - ADHOC PAYMENTS","SYS00000000467799074","-247500","2025-03-15","3","45","2","-42","4"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98731","SUSPENSE - OTHERS","SYS00000000467191119","-776.12","2025-03-07","11","45","2","-34","12"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98731","SUSPENSE - OTHERS","SYS00000000467488169","-24700","2025-03-11","7","45","2","-38","8"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98731","SUSPENSE - OTHERS","SYS00000000467800619","-890000","2025-03-15","3","45","2","-42","4"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98728","SUSPENSE - ADHOC PAYMENTS","SYS00000000467585610","-1637","2025-03-12","6","45","2","-39","7"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98731","SUSPENSE - OTHERS","SYS00000000467829067","-246132.99","2025-03-15","3","45","2","-42","4"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98751","SUNDRY DEPOSITS-OTHERS","SYS00000000468092416","8122187","2025-03-18","0","45","1","-45","1"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250224557886097","-1024.78","2025-02-24","22","45","3","-23","23"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250224557886389","-1800","2025-02-24","22","45","3","-23","23"
"579","SIRKALI ","CHENNAI","2","22","TRICHY","5","98731","SUSPENSE - OTHERS","SYS00000000467826088","-5533.15","2025-03-15","3","45","2","-42","4"
"756","AGRI COMM BRANCH PARAMAGUDI             ","CHENNAI","2","22","TRICHY","3","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250318521144444","-19500","2025-03-18","0","45","3","-45","1"
"756","AGRI COMM BRANCH PARAMAGUDI             ","CHENNAI","2","22","TRICHY","3","98731","SUSPENSE - OTHERS","SYS00000000464562443","-242400","2025-02-05","41","45","2","-4","42"
"756","AGRI COMM BRANCH PARAMAGUDI             ","CHENNAI","2","22","TRICHY","3","98751","SUNDRY DEPOSITS-OTHERS","SYS00000000466388059","55320","2025-02-27","19","45","1","-26","20"
"756","AGRI COMM BRANCH PARAMAGUDI             ","CHENNAI","2","22","TRICHY","3","98751","SUNDRY DEPOSITS-OTHERS","SYS00000000466386147","44400","2025-02-27","19","45","1","-26","20"
"756","AGRI COMM BRANCH PARAMAGUDI             ","CHENNAI","2","22","TRICHY","3","98731","SUSPENSE - OTHERS","SYS00000000466191366","-3009","2025-02-25","21","45","2","-24","22"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250221401468724","-10000","2025-02-21","25","45","3","-20","26"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS00000000466263547","-11.8","2025-02-25","21","45","3","-24","22"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS00000000467297989","-100","2025-03-10","8","45","3","-37","9"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98728","SUSPENSE - ADHOC PAYMENTS","SYS00000000467919758","-22459.76","2025-03-17","1","45","2","-44","2"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98731","SUSPENSE - OTHERS","SYS00000000466394477","-10000","2025-02-27","19","45","2","-26","20"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98751","SUNDRY DEPOSITS-OTHERS","SYS00000000468090862","5000","2025-03-18","0","45","1","-45","1"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98749","SD- DISPUTED OR COURT CASES","SYS00000000267591149","500000","2017-11-08","2687","NA","NIL","NA","2688"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98749","SD- DISPUTED OR COURT CASES","SYS00000000267591151","200000","2017-11-08","2687","NA","NIL","NA","2688"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98749","SD- DISPUTED OR COURT CASES","SYS00000000267591152","20000","2017-11-08","2687","NA","NIL","NA","2688"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98749","SD- DISPUTED OR COURT CASES","SYS00000000267591153","250000","2017-11-08","2687","NA","NIL","NA","2688"
"765","AGRI COMM BRANCH TURAIYUR               ","CHENNAI","2","22","TRICHY","1","98749","SD- DISPUTED OR COURT CASES","SYS00000000267591148","60000","2017-11-08","2687","NA","NIL","NA","2688"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250221401471461","-10000","2025-02-21","25","45","3","-20","26"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250224558086690","-1000","2025-02-24","22","45","3","-23","23"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250224558086843","-9000","2025-02-24","22","45","3","-23","23"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS20250221401471366","-10000","2025-02-21","25","45","3","-20","26"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98731","SUSPENSE - OTHERS","SYS00000000466315930","-2006","2025-02-26","20","45","2","-25","21"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98751","SUNDRY DEPOSITS-OTHERS","SYS00000000466419111","18455","2025-02-27","19","45","1","-26","20"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98576","SD . UNIDENTIFIED CREDITS . CASH B","SYS00000000467453713","6000","2025-03-11","7","45","1","-38","8"
"786","AGRI COMM BRANCH MUDUKULATHUR           ","CHENNAI","2","22","TRICHY","3","98728","SUSPENSE - ADHOC PAYMENTS","SYS00000000467383165","-2000","2025-03-11","7","45","2","-38","8"
"787","AGRI COMM BRANCH TIRUPATTUR             ","CHENNAI","2","22","TRICHY","3","98581","ATM CASH DISB-CUST AC NOT DEBITED","SYS00000000467638661","-11.8","2025-03-13","5","45","3","-40","6"
